sp_name, launch_clock_latency, clock_latency_mean, clock_latency_std
i278/CLK,0,0,0
i279/CLK,0,0,0
i280/CLK,0,0,0
i281/CLK,0,0,0
i282/CLK,0,0,0
i283/CLK,0,0,0
i284/CLK,0,0,0
i285/CLK,0,0,0
i286/CLK,0,0,0
i287/CLK,0,0,0
i288/CLK,0,0,0
i289/CLK,0,0,0
i290/CLK,0,0,0
i291/CLK,0,0,0
i292/CLK,0,0,0
i293/CLK,0,0,0
i294/CLK,0,0,0
i295/CLK,0,0,0
i296/CLK,0,0,0
i297/CLK,0,0,0
i298/CLK,0,0,0
i299/CLK,0,0,0
i300/CLK,0,0,0
i301/CLK,0,0,0
i302/CLK,0,0,0
i303/CLK,0,0,0
i304/CLK,0,0,0
i305/CLK,0,0,0
i306/CLK,0,0,0
i307/CLK,0,0,0
i308/CLK,0,0,0
i309/CLK,0,0,0
i310/CLK,0,0,0
i311/CLK,0,0,0
i312/CLK,0,0,0
i313/CLK,0,0,0
i314/CLK,0,0,0
i315/CLK,0,0,0
i316/CLK,0,0,0
i317/CLK,0,0,0
i318/CLK,0,0,0
i319/CLK,0,0,0
i320/CLK,0,0,0
i321/CLK,0,0,0
i322/CLK,0,0,0
i43/i100/CLK,0,0,0
i43/i101/CLK,0,0,0
i43/i102/CLK,0,0,0
i43/i103/CLK,0,0,0
i43/i104/CLK,0,0,0
i43/i105/CLK,0,0,0
i43/i106/CLK,0,0,0
i43/i107/CLK,0,0,0
i43/i108/CLK,0,0,0
i43/i109/CLK,0,0,0
i43/i110/CLK,0,0,0
i43/i111/CLK,0,0,0
i43/i112/CLK,0,0,0
i43/i113/CLK,0,0,0
i43/i114/CLK,0,0,0
i43/i115/CLK,0,0,0
i43/i116/CLK,0,0,0
i43/i117/CLK,0,0,0
i43/i118/CLK,0,0,0
i43/i119/CLK,0,0,0
i43/i120/CLK,0,0,0
i43/i121/CLK,0,0,0
i43/i122/CLK,0,0,0
i43/i123/CLK,0,0,0
i43/i124/CLK,0,0,0
i43/i125/CLK,0,0,0
i43/i126/CLK,0,0,0
i43/i127/CLK,0,0,0
i43/i128/CLK,0,0,0
i43/i129/CLK,0,0,0
i43/i130/CLK,0,0,0
i43/i131/CLK,0,0,0
i43/i132/CLK,0,0,0
i43/i133/CLK,0,0,0
i43/i134/CLK,0,0,0
i43/i135/CLK,0,0,0
i43/i136/CLK,0,0,0
i43/i137/CLK,0,0,0
i43/i138/CLK,0,0,0
i43/i139/CLK,0,0,0
i43/i140/CLK,0,0,0
i43/i141/CLK,0,0,0
i43/i142/CLK,0,0,0
i43/i143/CLK,0,0,0
i43/i144/CLK,0,0,0
i43/i145/CLK,0,0,0
i43/i146/CLK,0,0,0
i43/i147/CLK,0,0,0
i43/i148/CLK,0,0,0
i43/i149/CLK,0,0,0
i43/i150/CLK,0,0,0
i43/i151/CLK,0,0,0
i43/i152/CLK,0,0,0
i43/i153/CLK,0,0,0
i43/i154/CLK,0,0,0
i43/i155/CLK,0,0,0
i43/i156/CLK,0,0,0
i43/i157/CLK,0,0,0
i43/i158/CLK,0,0,0
i43/i159/CLK,0,0,0
i43/i160/CLK,0,0,0
i43/i161/CLK,0,0,0
i43/i162/CLK,0,0,0
i43/i163/CLK,0,0,0
i43/i164/CLK,0,0,0
i43/i165/CLK,0,0,0
i43/i166/CLK,0,0,0
i43/i167/CLK,0,0,0
i43/i168/CLK,0,0,0
i43/i169/CLK,0,0,0
i43/i170/CLK,0,0,0
i43/i171/CLK,0,0,0
i43/i172/CLK,0,0,0
i43/i173/CLK,0,0,0
i43/i174/CLK,0,0,0
i43/i175/CLK,0,0,0
i43/i176/CLK,0,0,0
i43/i177/CLK,0,0,0
i43/i45/i0/CLK,0,0,0
i43/i45/i1/CLK,0,0,0
i43/i45/i19/CLK,0,0,0
i43/i45/i2/CLK,0,0,0
i43/i45/i29/CLK,0,0,0
i43/i45/i3/CLK,0,0,0
i43/i45/i30/CLK,0,0,0
i43/i45/i31/CLK,0,0,0
i43/i45/i32/CLK,0,0,0
i43/i45/i5/CLK,0,0,0
i43/i45/i6/CLK,0,0,0
i43/i45/i7/CLK,0,0,0
i43/i50/CLK,0,0,0
i43/i51/CLK,0,0,0
i43/i52/CLK,0,0,0
i43/i53/CLK,0,0,0
i43/i54/CLK,0,0,0
i43/i55/CLK,0,0,0
i43/i56/CLK,0,0,0
i43/i57/CLK,0,0,0
i43/i58/CLK,0,0,0
i43/i59/CLK,0,0,0
i43/i60/CLK,0,0,0
i43/i61/CLK,0,0,0
i43/i62/CLK,0,0,0
i43/i63/CLK,0,0,0
i43/i64/CLK,0,0,0
i43/i65/CLK,0,0,0
i43/i66/CLK,0,0,0
i43/i67/CLK,0,0,0
i43/i68/CLK,0,0,0
i43/i69/CLK,0,0,0
i43/i70/CLK,0,0,0
i43/i71/CLK,0,0,0
i43/i72/CLK,0,0,0
i43/i73/CLK,0,0,0
i43/i74/CLK,0,0,0
i43/i75/CLK,0,0,0
i43/i76/CLK,0,0,0
i43/i77/CLK,0,0,0
i43/i78/CLK,0,0,0
i43/i79/CLK,0,0,0
i43/i80/CLK,0,0,0
i43/i81/CLK,0,0,0
i43/i82/CLK,0,0,0
i43/i83/CLK,0,0,0
i43/i84/CLK,0,0,0
i43/i85/CLK,0,0,0
i43/i86/CLK,0,0,0
i43/i87/CLK,0,0,0
i43/i88/CLK,0,0,0
i43/i89/CLK,0,0,0
i43/i90/CLK,0,0,0
i43/i91/CLK,0,0,0
i43/i92/CLK,0,0,0
i43/i93/CLK,0,0,0
i43/i94/CLK,0,0,0
i43/i95/CLK,0,0,0
i43/i96/CLK,0,0,0
i43/i97/CLK,0,0,0
i43/i98/CLK,0,0,0
i43/i99/CLK,0,0,0
i66/CLK,0,0,0
i67/CLK,0,0,0
i68/CLK,0,0,0
i69/CLK,0,0,0
i70/CLK,0,0,0
i71/CLK,0,0,0
i72/CLK,0,0,0
i73/CLK,0,0,0
i74/CLK,0,0,0
i75/CLK,0,0,0
i76/CLK,0,0,0
i77/CLK,0,0,0
i78/CLK,0,0,0
i79/CLK,0,0,0
i80/CLK,0,0,0
i81/CLK,0,0,0
i82/CLK,0,0,0
i83/CLK,0,0,0
i84/CLK,0,0,0
i85/CLK,0,0,0
i86/CLK,0,0,0
i87/CLK,0,0,0
i88/CLK,0,0,0
i89/CLK,0,0,0
i90/CLK,0,0,0
i91/CLK,0,0,0
i92/CLK,0,0,0
i93/CLK,0,0,0
i94/CLK,0,0,0
i95/CLK,0,0,0
i96/CLK,0,0,0
i97/CLK,0,0,0
i98/CLK,0,0,0
i99/CLK,0,0,0
