from_pin.full_name,to_pin.full_name,delay_max_rise,delay_max_fall,variation_delay_max_rise.mean,variation_delay_max_rise.std_dev,variation_delay_max_fall.mean,variation_delay_max_fall.std_dev
i59/i351/Y,i59/i238/B,0.0001291189377639057,0.0001291050599760979,0.0001291189377639057,UNINIT,0.0001291050599760979,UNINIT
i59/i300/Y,i59/i127/A2,2.466082893448629e-05,2.468858451010192e-05,2.466082893448629e-05,UNINIT,2.468858451010192e-05,UNINIT
i59/i487/Y,i59/i478/A,5.566727634409573e-05,5.559788740505666e-05,5.566727634409573e-05,UNINIT,5.559788740505666e-05,UNINIT
i59/i487/Y,i59/i480/B,8.880743362915666e-05,8.848130561567302e-05,8.880743362915666e-05,UNINIT,8.848130561567302e-05,UNINIT
i59/i487/Y,i59/i473/A,0.00010286216323152075,0.00010216480439417808,0.00010286216323152075,UNINIT,0.00010216480439417808,UNINIT
i59/i487/Y,i59/i476/B,8.875539192487736e-05,8.838763054797028e-05,8.875539192487736e-05,UNINIT,8.838763054797028e-05,UNINIT
i59/i350/Y,i59/i218/A,2.8352320491364932e-05,2.8366198279172746e-05,2.8352320491364932e-05,UNINIT,2.8366198279172746e-05,UNINIT
i59/i350/Y,i59/i299/A,2.800537579616957e-05,2.8019253583977385e-05,2.800537579616957e-05,UNINIT,2.8019253583977385e-05,UNINIT
i59/i299/Y,i59/i113/C,4.628242233906121e-05,4.64628335805628e-05,4.628242233906121e-05,UNINIT,4.64628335805628e-05,UNINIT
i59/i299/Y,i59/i249/B,7.81458231458032e-05,7.822908987265009e-05,7.81458231458032e-05,UNINIT,7.822908987265009e-05,UNINIT
i59/i349/Y,i59/i85/A2,7.206735208598047e-05,7.211592434330782e-05,7.206735208598047e-05,UNINIT,7.211592434330782e-05,UNINIT
i59/i349/Y,i59/i298/A,4.216071936014032e-05,4.218847493575595e-05,4.216071936014032e-05,UNINIT,4.218847493575595e-05,UNINIT
i59/i298/Y,i59/i86/A1,4.757305660518796e-05,4.755917881738014e-05,4.757305660518796e-05,UNINIT,4.755917881738014e-05,UNINIT
