from_pin.full_name,to_pin.full_name,sense,delay_max_rise,delay_max_fall,variation_delay_max_rise.mean,variation_delay_max_rise.std_dev,variation_delay_max_fall.mean,variation_delay_max_fall.std_dev
i43/i46/i135/A1,i43/i46/i135/Y,negative_unate,18.415823,11.446992,18.415823,UNINIT,11.446992,UNINIT
i43/i46/i135/A2,i43/i46/i135/Y,negative_unate,20.910223,11.949842,20.910223,UNINIT,11.949842,UNINIT
i43/i46/i135/B1,i43/i46/i135/Y,negative_unate,20.784409,14.811875,20.784409,UNINIT,14.811875,UNINIT
i43/i46/i135/B2,i43/i46/i135/Y,negative_unate,17.131897,15.017494,17.131897,UNINIT,15.017494,UNINIT
i43/i46/i135/C,i43/i46/i135/Y,negative_unate,16.109354,14.547572,16.109354,UNINIT,14.547572,UNINIT
i43/i46/i136/A,i43/i46/i136/Y,negative_unate,13.28836,15.122187,13.28836,UNINIT,15.122187,UNINIT
i43/i46/i136/B,i43/i46/i136/Y,negative_unate,14.918262,14.172806,14.918262,UNINIT,14.172806,UNINIT
i43/i46/i136/C,i43/i46/i136/Y,negative_unate,15.368176,12.832767,15.368176,UNINIT,12.832767,UNINIT
i43/i46/i137/A,i43/i46/i137/Y,negative_unate,14.477951,21.838173,14.477951,UNINIT,21.838173,UNINIT
i43/i46/i137/B,i43/i46/i137/Y,negative_unate,12.616257,21.451597,12.616257,UNINIT,21.451597,UNINIT
i43/i46/i137/C,i43/i46/i137/Y,negative_unate,14.90127,22.857037,14.90127,UNINIT,22.857037,UNINIT
i43/i46/i137/D,i43/i46/i137/Y,negative_unate,15.311169,23.379988,15.311169,UNINIT,23.379988,UNINIT
i43/i46/i137/E,i43/i46/i137/Y,negative_unate,15.834538,23.301386,15.834538,UNINIT,23.301386,UNINIT
i43/i46/i138/A1,i43/i46/i138/Y,negative_unate,14.177199,13.670293,14.177199,UNINIT,13.670293,UNINIT
i43/i46/i138/A2,i43/i46/i138/Y,negative_unate,14.58603,11.547242,14.58603,UNINIT,11.547242,UNINIT
i43/i46/i138/B,i43/i46/i138/Y,negative_unate,13.727465,11.581135,13.727465,UNINIT,11.581135,UNINIT
i43/i46/i139/A,i43/i46/i139/Y,negative_unate,16.243643,8.38448,16.243643,UNINIT,8.38448,UNINIT
i43/i46/i139/B,i43/i46/i139/Y,negative_unate,17.880919,9.713381,17.880919,UNINIT,9.713381,UNINIT
i43/i46/i139/C,i43/i46/i139/Y,negative_unate,17.58061,9.706278,17.58061,UNINIT,9.706278,UNINIT
i43/i46/i139/D,i43/i46/i139/Y,negative_unate,17.180168,9.601501,17.180168,UNINIT,9.601501,UNINIT
i43/i46/i14/A,i43/i46/i14/Y,negative_unate,14.007939,15.098218,14.007939,UNINIT,15.098218,UNINIT
i43/i46/i14/B,i43/i46/i14/Y,negative_unate,17.938749,14.717573,17.938749,UNINIT,14.717573,UNINIT
i43/i46/i140/A1,i43/i46/i140/Y,negative_unate,12.930892,10.621888,12.930892,UNINIT,10.621888,UNINIT
